"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 02:39:21 UTC 2023","Wed Dec 06 02:39:30 UTC 2023","8288","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Dec 06 02:35:17 UTC 2023","Wed Dec 06 02:35:24 UTC 2023","6837","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Dec 06 02:52:18 UTC 2023","Wed Dec 06 02:52:25 UTC 2023","6681","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Dec 06 02:37:13 UTC 2023","Wed Dec 06 02:37:17 UTC 2023","4234","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Dec 06 02:31:52 UTC 2023","Wed Dec 06 02:31:57 UTC 2023","4816","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Dec 06 04:05:12 UTC 2023","Wed Dec 06 04:05:14 UTC 2023","2356","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Dec 06 02:28:55 UTC 2023","Wed Dec 06 02:29:18 UTC 2023","22955","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"broken","Wed Dec 06 03:33:30 UTC 2023","Wed Dec 06 03:33:30 UTC 2023","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Dec 06 03:09:33 UTC 2023","Wed Dec 06 03:09:38 UTC 2023","4917","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Dec 06 02:43:29 UTC 2023","Wed Dec 06 02:43:36 UTC 2023","6937","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Dec 06 02:30:48 UTC 2023","Wed Dec 06 02:30:52 UTC 2023","4477","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Dec 06 03:03:47 UTC 2023","Wed Dec 06 03:04:12 UTC 2023","25785","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Dec 06 04:42:22 UTC 2023","Wed Dec 06 04:42:30 UTC 2023","7947","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed Dec 06 03:07:31 UTC 2023","Wed Dec 06 03:07:34 UTC 2023","2310","","11. Client Portal - Administration","","","","2. Check Administration Page",""
